,Interpolation_w1,Interpolation_w2,Metric_Month,Value,Metric,Month,Interpolation
0,1.0,0.0,NDCG5_Jan,32.08,NDCG5,Jan,1.0:0.0
1,0.9,0.1,NDCG5_Jan,28.8,NDCG5,Jan,0.9:0.1
2,0.8,0.2,NDCG5_Jan,25.26,NDCG5,Jan,0.8:0.2
3,0.7,0.3,NDCG5_Jan,21.96,NDCG5,Jan,0.7:0.3
4,0.6,0.4,NDCG5_Jan,17.58,NDCG5,Jan,0.6:0.4
5,0.5,0.5,NDCG5_Jan,16.0,NDCG5,Jan,0.5:0.5
6,0.4,0.6,NDCG5_Jan,14.41,NDCG5,Jan,0.4:0.6
7,0.3,0.7,NDCG5_Jan,12.95,NDCG5,Jan,0.3:0.7
8,0.2,0.8,NDCG5_Jan,10.86,NDCG5,Jan,0.2:0.8
9,0.1,0.9,NDCG5_Jan,9.82,NDCG5,Jan,0.1:0.9
10,0.0,1.0,NDCG5_Jan,8.41,NDCG5,Jan,0.0:1.0
11,1.0,0.0,NDCG5_Jun,29.41,NDCG5,Jun,1.0:0.0
12,0.9,0.1,NDCG5_Jun,28.67,NDCG5,Jun,0.9:0.1
13,0.8,0.2,NDCG5_Jun,29.98,NDCG5,Jun,0.8:0.2
14,0.7,0.3,NDCG5_Jun,30.01,NDCG5,Jun,0.7:0.3
15,0.6,0.4,NDCG5_Jun,30.79,NDCG5,Jun,0.6:0.4
16,0.5,0.5,NDCG5_Jun,32.39,NDCG5,Jun,0.5:0.5
17,0.4,0.6,NDCG5_Jun,32.88,NDCG5,Jun,0.4:0.6
18,0.3,0.7,NDCG5_Jun,31.77,NDCG5,Jun,0.3:0.7
19,0.2,0.8,NDCG5_Jun,31.8,NDCG5,Jun,0.2:0.8
20,0.1,0.9,NDCG5_Jun,30.98,NDCG5,Jun,0.1:0.9
21,0.0,1.0,NDCG5_Jun,29.57,NDCG5,Jun,0.0:1.0
22,1.0,0.0,NDCG5_Dec,29.36,NDCG5,Dec,1.0:0.0
23,0.9,0.1,NDCG5_Dec,34.36,NDCG5,Dec,0.9:0.1
24,0.8,0.2,NDCG5_Dec,40.2,NDCG5,Dec,0.8:0.2
25,0.7,0.3,NDCG5_Dec,44.43,NDCG5,Dec,0.7:0.3
26,0.6,0.4,NDCG5_Dec,47.23,NDCG5,Dec,0.6:0.4
27,0.5,0.5,NDCG5_Dec,49.87,NDCG5,Dec,0.5:0.5
28,0.4,0.6,NDCG5_Dec,49.99,NDCG5,Dec,0.4:0.6
29,0.3,0.7,NDCG5_Dec,49.94,NDCG5,Dec,0.3:0.7
