MS MARCO,TREC-COVID,NFCorpus,NQ,HotpotQA,FiQA,ArguAna,Touché-2020,Quora,DBPedia,SciDocs,FEVER,Climate-FEVER,SciFact
2017,2020,2016,2019,2018,2018,2018,2020,2016,2017,2020,2018,2020,2020
45.56,21.44,25.52,23.9,40.88,19.22,43.65,9.39,81.98,30.11,13.51,45.63,19.75,60.68
45.3,22.57,25.98,24.23,41.52,19.75,43.69,9.83,82.01,30.42,13.74,46.37,20.49,60.95
45.14,22.6,26.36,24.52,42,20.31,43.57,10.44,82.15,30.67,13.86,46.72,21.08,61.12
44.98,23.11,26.91,24.82,42.41,20.51,43.56,10.8,82.15,30.62,13.88,46.85,21.62,61.34
44.33,23.42,27.18,24.82,42.6,20.54,43.37,10.92,82.22,30.52,13.82,46.69,22.11,61.57
43.84,24.16,27.17,24.8,42.61,20.56,43.52,10.91,82.23,30.35,13.77,46.19,22.59,61.73
43.4,24.98,27.03,24.51,42.4,20.25,43.53,10.95,82.21,29.74,13.61,45.33,22.62,61.73
42.78,25.07,26.9,24.21,41.92,20.16,43.48,10.79,82.14,29.31,13.39,44.07,22.68,61.26
41.26,25.74,26.64,23.82,41.3,19.78,43.38,10.85,82,28.74,13.08,42.5,22.68,60.56
40.9,26.35,26.27,23.08,40.38,19.15,42.99,10.29,81.84,28.1,12.81,40.55,22.44,59.58
39.95,27.08,25.78,22.58,39.27,18.29,42.69,9.99,81.67,27.16,12.43,38.49,22.13,59.35
