,Interpolation_w1,Interpolation_w2,Metric_Year,Value,Metric,Year,Interpolation
0,1.0,0.0,NDCG5_2018,44.63,NDCG5,2018,1.0:0.0
1,0.9,0.1,NDCG5_2018,42.69,NDCG5,2018,0.9:0.1
2,0.8,0.2,NDCG5_2018,40.42,NDCG5,2018,0.8:0.2
3,0.7,0.3,NDCG5_2018,38.64,NDCG5,2018,0.7:0.3
4,0.6,0.4,NDCG5_2018,37.62,NDCG5,2018,0.6:0.4
5,0.5,0.5,NDCG5_2018,35.14,NDCG5,2018,0.5:0.5
6,0.4,0.6,NDCG5_2018,33.2,NDCG5,2018,0.4:0.6
7,0.3,0.7,NDCG5_2018,32.24,NDCG5,2018,0.3:0.7
8,0.2,0.8,NDCG5_2018,28.51,NDCG5,2018,0.2:0.8
9,0.1,0.9,NDCG5_2018,26.15,NDCG5,2018,0.1:0.9
10,0.0,1.0,NDCG5_2018,23.89,NDCG5,2018,0.0:1.0
11,1.0,0.0,NDCG5_2019,30.78,NDCG5,2019,1.0:0.0
12,0.9,0.1,NDCG5_2019,34.04,NDCG5,2019,0.9:0.1
13,0.8,0.2,NDCG5_2019,34.31,NDCG5,2019,0.8:0.2
14,0.7,0.3,NDCG5_2019,34.62,NDCG5,2019,0.7:0.3
15,0.6,0.4,NDCG5_2019,34.65,NDCG5,2019,0.6:0.4
16,0.5,0.5,NDCG5_2019,33.81,NDCG5,2019,0.5:0.5
17,0.4,0.6,NDCG5_2019,33.21,NDCG5,2019,0.4:0.6
18,0.3,0.7,NDCG5_2019,32.06,NDCG5,2019,0.3:0.7
19,0.2,0.8,NDCG5_2019,30.9,NDCG5,2019,0.2:0.8
20,0.1,0.9,NDCG5_2019,29.68,NDCG5,2019,0.1:0.9
21,0.0,1.0,NDCG5_2019,28.28,NDCG5,2019,0.0:1.0
22,1.0,0.0,NDCG5_2020,22.14,NDCG5,2020,1.0:0.0
23,0.9,0.1,NDCG5_2020,26.57,NDCG5,2020,0.9:0.1
24,0.8,0.2,NDCG5_2020,27.92,NDCG5,2020,0.8:0.2
25,0.7,0.3,NDCG5_2020,29.94,NDCG5,2020,0.7:0.3
26,0.6,0.4,NDCG5_2020,29.85,NDCG5,2020,0.6:0.4
27,0.5,0.5,NDCG5_2020,31.98,NDCG5,2020,0.5:0.5
28,0.4,0.6,NDCG5_2020,32.93,NDCG5,2020,0.4:0.6
29,0.3,0.7,NDCG5_2020,33.14,NDCG5,2020,0.3:0.7
30,0.2,0.8,NDCG5_2020,32.57,NDCG5,2020,0.2:0.8
31,0.1,0.9,NDCG5_2020,30.31,NDCG5,2020,0.1:0.9
32,0.0,1.0,NDCG5_2020,29.75,NDCG5,2020,0.0:1.0
33,1.0,0.0,NDCG5_2021,14.83,NDCG5,2021,1.0:0.0
34,0.9,0.1,NDCG5_2021,18.68,NDCG5,2021,0.9:0.1
35,0.8,0.2,NDCG5_2021,21.79,NDCG5,2021,0.8:0.2
36,0.7,0.3,NDCG5_2021,25.29,NDCG5,2021,0.7:0.3
37,0.6,0.4,NDCG5_2021,27.93,NDCG5,2021,0.6:0.4
38,0.5,0.5,NDCG5_2021,30.02,NDCG5,2021,0.5:0.5
39,0.4,0.6,NDCG5_2021,31.98,NDCG5,2021,0.4:0.6
40,0.3,0.7,NDCG5_2021,34.36,NDCG5,2021,0.3:0.7
41,0.2,0.8,NDCG5_2021,36.26,NDCG5,2021,0.2:0.8
42,0.1,0.9,NDCG5_2021,38.47,NDCG5,2021,0.1:0.9
43,0.0,1.0,NDCG5_2021,38.4,NDCG5,2021,0.0:1.0
44,1.0,0.0,NDCG10_2018,46.37,NDCG10,2018,1.0:0.0
45,0.9,0.1,NDCG10_2018,45.48,NDCG10,2018,0.9:0.1
46,0.8,0.2,NDCG10_2018,44.84,NDCG10,2018,0.8:0.2
47,0.7,0.3,NDCG10_2018,42.32,NDCG10,2018,0.7:0.3
48,0.6,0.4,NDCG10_2018,42.12,NDCG10,2018,0.6:0.4
49,0.5,0.5,NDCG10_2018,40.2,NDCG10,2018,0.5:0.5
50,0.4,0.6,NDCG10_2018,38.09,NDCG10,2018,0.4:0.6
51,0.3,0.7,NDCG10_2018,36.03,NDCG10,2018,0.3:0.7
52,0.2,0.8,NDCG10_2018,34.28,NDCG10,2018,0.2:0.8
53,0.1,0.9,NDCG10_2018,30.68,NDCG10,2018,0.1:0.9
54,0.0,1.0,NDCG10_2018,28.49,NDCG10,2018,0.0:1.0
55,1.0,0.0,NDCG10_2019,33.99,NDCG10,2019,1.0:0.0
56,0.9,0.1,NDCG10_2019,37.15,NDCG10,2019,0.9:0.1
57,0.8,0.2,NDCG10_2019,37.89,NDCG10,2019,0.8:0.2
58,0.7,0.3,NDCG10_2019,38.73,NDCG10,2019,0.7:0.3
59,0.6,0.4,NDCG10_2019,38.15,NDCG10,2019,0.6:0.4
